Maturity,rmse,mae,max_abs_error,r_squared,atm_rmse,atm_bias,left_wing_rmse,right_wing_rmse,wing_asymmetry,arbitrage_risk,min_calendar_diff,has_calendar_arbitrage,calendar_arbitrage_severity
0.00821918,0.00012552436038317479,0.0001001032246762779,0.00024174820546009855,0.9997414564546202,9.763926319814174e-05,-2.2314876630025356e-05,0.0001333525450022191,,,0,,False,
0.02465753,0.00029839850321945863,0.00025037508646877507,0.0005730559808501366,0.9994525614175693,0.00031654482668828,-0.00013611048706348405,0.00018936098213928718,,,0,0.0037463830131696067,False,0.0
0.04657534,0.0004953066999546945,0.0004147659368434743,0.0008275547601567391,0.9985404464335609,0.00039682200609377784,-0.0001926667495465384,0.0005687141466320443,,,0,0.0033492054242017094,False,0.0
0.06575342,0.0004548148327971644,0.0003729022054762351,0.0008257274094274104,0.9994409041523736,0.00044009872609330184,-0.00037049758132621835,0.00028792817337168036,,,0,0.005561923958579134,False,0.0
0.08493151,0.00046397853805547076,0.0003860422012986931,0.0007522879347621886,0.9994499978066659,0.0004982658976883192,-0.0003840399742655228,0.00021538669847249916,,,0,0.0026120889250647594,False,0.0
0.10410959,0.00042971243601731753,0.0003623093841014966,0.0007399239027451494,0.9994399265781855,0.0002621282977275341,-0.00023683620128447415,0.0005549483121696273,,,0,0.001296536387176049,False,0.0
0.12328767,0.0005287309589822836,0.0004578467500954385,0.0009463337221187057,0.9994232920849694,0.00032503075670264404,-0.00027655303575494877,0.0007181210692697243,,,0,0.0021766994634692532,False,0.0
0.20000000,0.0003585434861560229,0.00029855493312314334,0.0006198598771554598,0.9996333491587909,0.0002505733981510938,-0.0001756510686961981,0.000467495176568245,,,0,0.006808016492863937,False,0.0
0.27671233,0.0006860003127259863,0.0006071846420720728,0.001167250111031845,0.9993025152803725,0.0004078617414739373,-0.0003957416038377036,0.0008953342624890036,,,0,0.0075427402372696475,False,0.0
0.35342466,0.0006979872232681107,0.0006299625935563512,0.0011837535768842028,0.999366833555325,0.0006347916566240144,-0.00021295846148579323,0.0009297127310489731,,,0,0.008295835563860508,False,0.0
0.44931507,0.0008721206213438084,0.0007005467814689593,0.0014096232912273743,0.9981025800920218,0.0009998147301057527,-0.0007600863367077659,0.00014228236369657807,,,0,0.007820229726569282,False,0.0
0.52602740,0.0007295821694179409,0.0006452791776413744,0.0012499605905178512,0.9993934219085164,0.0005612947662296871,-0.0005603121641575212,0.0009661269294986021,,,0,0.006219746921544707,False,0.0
0.69863014,0.0016038208542052807,0.0013986167927714252,0.0028187674191267886,0.994539910572213,0.0007123305895650207,-0.000703131102887472,0.0008558011402132726,,,0,0.014879874456009648,False,0.0
0.77534247,0.0018860865381791947,0.0016833525720300454,0.003143477129057562,0.9928558182745766,0.0008127377918910447,-0.0008121291909194764,0.0012014628064251946,,,0,0.0060160973819397,False,0.0
0.94794521,0.0016151382999345177,0.0012384512673616066,0.002820111527863975,0.9974414286929346,0.0007608321279947011,-0.0007608321279947011,0.0017392679274308499,,,0,0.014289799760120764,False,0.0
1.19452055,0.0043424933993883915,0.003452238396029105,0.007418626300443959,0.9789498705884383,0.005234779131015396,-0.0008896385327055722,0.0018310103802798615,,,0,0.020582027618271187,False,0.0
1.69589041,0.008268803307098097,0.006608250110054788,0.014036491783993299,0.9300922449268378,0.011102843106677883,-0.002620336983177901,0.0037125412564997093,,,0,0.038898225974890094,False,0.0
1.77260274,0.008558793119912735,0.006859991378025159,0.014631430341888602,0.9291848244702645,0.011490768381796834,-0.002769047335369812,0.0035360808316847333,,,0,0.005547166080324156,False,0.0
2.19178082,0.010129874722306274,0.008376950903500633,0.01778161328320063,0.9241744015505939,0.006495838554416378,0.006495838554416378,0.006008584007242737,,,0,0.018308642318057317,False,0.0
2.69315068,0.016290038298067022,0.013385259582448508,0.028593027820881328,0.8703967196775808,0.010853734790933683,0.010853734790933683,0.00762265313554878,,,0,0.01935741927703888,False,0.0
