,maturity,prev_maturity,a_change,a_rel_change,b_change,b_rel_change,rho_change,rho_rel_change,m_change,m_rel_change,sigma_change,sigma_rel_change,param_stability
0,0.038356164383561646,0.01643835616438356,-6.714220740985932e-06,-0.639194058181324,0.02667241927932218,0.6451434349971955,-0.1772858086900948,-0.28697727272767243,-0.060214396653670565,-7.867458151542046,0.043565547752536515,0.2594017336575043,7.9291438425902205
1,0.057534246575342465,0.038356164383561646,6.980797782969329e-06,1.8419103601831157,0.008634202748718733,0.12694404904796872,-0.0399846482920293,-0.05029165572934418,-0.00025546766156912815,-0.003764184374095047,0.06681802244700696,0.31590683810183906,1.8737900406977541
2,0.07671232876712329,0.057534246575342465,-9.56764289446287e-06,-0.8882966308597238,0.0027938988560332056,0.03645007525682703,0.0033950981170972616,0.004065791169183583,0.016048115426797058,0.2355739688349819,0.015686864790284583,0.0563607051596695,0.9214595308094417
3,0.0958904109589041,0.07671232876712329,8.937471373985308e-06,7.428505499701297,-0.00031486911893842395,-0.003963413925799104,0.026908318393094155,0.03235553954915004,0.03643535468204206,0.6996660372892041,0.0032137358921307535,0.01093045423595392,7.461461558384366
4,0.11506849315068493,0.0958904109589041,-9.200044191487946e-06,-0.9072482190217334,0.005104689333766857,0.0645109425803834,-0.00674692055607462,-0.008384011594445542,-0.002056466869636446,-0.13148767997429017,0.011117552487703852,0.037403818053686075,0.9197930962293352
5,0.13424657534246576,0.11506849315068493,4.595818336936008e-06,4.88626264117435,0.005778418013853148,0.06859980743722566,0.0014592937221588054,0.0017983036958446328,-0.0004643409076428018,-0.026239192257878338,-0.0016358053312587328,-0.005305062740819897,4.886817819902209
6,0.1917808219178082,0.13424657534246576,3.061950876374844e-05,5.530603653339858,0.007939903708776314,0.08820924093066469,-0.03707386162380433,-0.045768833494719226,-0.000971927017593844,-0.05351783966341464,0.04254918260939511,0.1387267522961736,5.533494528560238
7,0.2684931506849315,0.1917808219178082,-2.4761185863616184e-05,-0.6848452224343076,-0.003627935720032588,-0.03703787173365981,-0.009996953586272506,-0.011801412759715404,0.06205222851963886,3.243249862875515,0.04889747268758304,0.14000253091966874,3.3179503368318732
8,0.3452054794520548,0.2684931506849315,7.3769083284731655e-06,0.647398191314228,0.00935340492288407,0.09916238608404171,-0.09358649880920988,-0.10919034623110542,-0.045896378166729916,-1.0693596443764366,0.09154612651656441,0.22992364286583658,1.279560494548999
9,0.4410958904109589,0.3452054794520548,-6.297278607594136e-06,-0.33546824627803734,0.009066375964660117,0.08744784240350167,-0.048101996462386554,-0.05059738406934743,-0.01991493227196436,-6.68986496092089,0.06180403239585336,0.12620667349806325,6.700221450405132
10,0.5178082191780822,0.4410958904109589,-6.945863618687674e-06,-0.5568125613395887,-0.006919949797263611,-0.06137759709837324,8.419335256526495e-05,8.429589969300202e-05,0.08309986216434243,3.630112694542087,0.011158310700814744,0.02023232823283438,3.6731369382556722
11,0.6904109589041096,0.5178082191780822,1.0607355334715796e-06,0.19186795524588582,-0.008643318618951623,-0.08167639208680368,-0.0002999220721264795,-0.0003003126910004949,0.14594201398481887,2.4239618590261007,0.0352639709814343,0.06267286473288923,2.433722132341604
12,0.7671232876712328,0.6904109589041096,-5.526666966113036e-06,-0.8387460373992633,0.006168004994530851,0.06346948730307689,0.001127500027120587,0.001128629542761491,-0.04510986401422157,-0.2188205203382956,0.07126108621570404,0.11917939538731324,0.8772745940024336
13,0.9397260273972603,0.7671232876712328,5.9672942947242926e-05,56.16092440021753,0.01889401353490819,0.18281821395906003,-0.0006277897786950426,-0.0006291287440502298,-0.15851877109972154,-0.9843428676470193,0.1789490405057037,0.2674104704660862,56.17048416760274
14,1.1863013698630136,0.9397260273972603,3.0315447453431664e-05,0.499139029134863,0.0021616887699537762,0.017683588593189095,-0.0001857024447042832,-0.00018598150909540125,0.08268229725370793,32.79185718019603,0.07027128954103856,0.08285327249206144,32.79576519164383
15,1.6876712328767123,1.1863013698630136,0.0951034289326722,1044.508099226442,0.2152908575686126,1.7305735145492007,1.3356700401809185,1.337428481670994,0.07467760252915605,0.876459363293239,-0.6868657940181827,-0.7478836156458974,1044.5110245757035
16,1.7643835616438357,1.6876712328767123,0.004619865900018338,0.04853081719560187,0.16474415401272785,0.4849763986185065,0.22067034753183534,0.6548376243092713,0.018731953771323112,0.11716161021071379,-0.04811842401250968,-0.20781287684437968,0.8504602849840575
17,2.1835616438356165,1.7643835616438357,0.00018118527926329342,0.0018152228308200196,0.21271623232896186,0.4216884175576081,0.10163300878449288,0.18225063142128325,0.045120565837705406,0.25261596180946627,0.029110611504306827,0.15870280742825818,0.5477600883928603
18,2.684931506849315,2.1835616438356165,-0.04788917782139365,-0.4789131806654993,0.3562856432628865,0.49680383277631646,0.06200275078578954,0.09404498940167812,0.12112678083509243,0.5413878248901084,0.05041985679482014,0.23722629692295646,0.9134513866643187
