,original,mean,std,cv,norm_range
a,1.0504197676820815e-05,7.999751310042851e-06,1.2279254116245142e-05,1.5349544805011404,5.442864902759037
b,0.04134339409256815,0.041361555264825,0.0009376719342043394,0.02267013240195446,0.08512871797896354
rho,-0.6177695083830923,-0.6256351770718147,0.056299753642910275,0.08998815237086294,0.33362902223436336
m,-0.007653602408024041,-0.010170557720597407,0.009010603611471187,0.885949803246573,4.647508271271372
sigma,0.16794624746054082,0.1702246839295369,0.009441572556027183,0.05546535518864845,0.2044176015081244
