Maturity,a,b,rho,m,sigma
0.01643836,1.0504197676820815e-05,0.04134339409256815,-0.6177695083830923,-0.007653602408024041,0.16794624746054082
0.03835616,3.7899769358348823e-06,0.06801581337189033,-0.7950553170731871,-0.0678679990616946,0.21151179521307734
0.05753425,1.0770774718804211e-05,0.07665001612060907,-0.8350399653652164,-0.06812346672326373,0.2783298176600843
0.07671233,1.2031318243413414e-06,0.07944391497664227,-0.8316448672481191,-0.052075351296466676,0.2940166824503689
0.09589041,1.014060319832665e-05,0.07912904585770385,-0.804736548855025,-0.01563999661442462,0.29723041834249964
0.11506849,9.405590068387037e-07,0.0842337351914707,-0.8114834694110996,-0.017696463484061065,0.3083479708302035
0.13424658,5.536377343774712e-06,0.09001215320532385,-0.8100241756889408,-0.018160804391703866,0.30671216549894476
0.19178082,3.6155886107523154e-05,0.09795205691410017,-0.8470980373127451,-0.01913273140929771,0.34926134810833986
0.26849315,1.139470024390697e-05,0.09432412119406758,-0.8570949908990176,0.042919497110341154,0.3981588207959229
0.34520548,1.8771608572380136e-05,0.10367752611695165,-0.9506814897082275,-0.002976881056388765,0.4897049473124873
0.44109589,1.2474329964786e-05,0.11274390208161177,-0.9987834861706141,-0.022891813328353126,0.5515089797083407
0.51780822,5.528466346098326e-06,0.10582395228434816,-0.9986992928180488,0.06020804883598929,0.5626672904091554
0.69041096,6.589201879569906e-06,0.09718063366539653,-0.9989992148901753,0.20615006282080817,0.5979312613905897
0.76712329,1.0625349134568696e-06,0.10334863865992738,-0.9978717148630547,0.1610401988065866,0.6691923476062938
0.93972603,6.0735477860699795e-05,0.12224265219483557,-0.9984995046417497,0.002521427706865051,0.8481413881119975
1.18630137,9.105092531413146e-05,0.12440434096478935,-0.998685207086454,0.08520372496057298,0.918412677653036
1.68767123,0.09519447985798632,0.33969519853340197,0.33698483309446436,0.15988132748972902,0.2315468836348533
1.76438356,0.09981434575800466,0.5044393525461298,0.5576551806262997,0.17861328126105214,0.1834284596223436
2.18356164,0.09999553103726795,0.7171555848750917,0.6592881894107926,0.22373384709875754,0.21253907112665044
2.68493151,0.0521063532158743,1.0734412281379782,0.7212909401965821,0.34486062793385,0.2629589279214706
