,mean_residual,std_residual,max_residual,min_residual,rmse
0.02191781,1.4933616541252233e-05,0.0005270969401061378,0.0007450835435009939,-0.0007581997140719346,0.0005273084459519444
0.04383562,2.0860851218614936e-05,0.0007202408909271897,0.0010919994212092235,-0.0009506700277755673,0.0007205429314601296
0.06301370,8.7542541539348e-06,0.001107876693398004,0.0014884955904971766,-0.002044341337677131,0.0011079112801755772
0.08219178,5.91741172147216e-05,0.0008595636114041406,0.001439179834104319,-0.0014605625690176961,0.0008615980374851546
0.10136986,2.1828001074463955e-05,0.001151270133956889,0.0013864421257698371,-0.0016960052368917636,0.0011514770440490857
0.12054795,3.042550254680988e-05,0.0012703765217596588,0.0021008799998964156,-0.0021349361506142715,0.0012707408147389439
0.19726027,2.184872600739622e-06,0.0012247169952582793,0.001388948096612986,-0.0024641398724239393,0.001224718944143002
0.27397260,-7.816036093812734e-07,0.0011202538383063589,0.0017533461318730084,-0.0017058524940148576,0.0011202541109696193
0.35068493,2.9310758638323442e-05,0.0007213189412736726,0.0011479467429708762,-0.0009409560613809417,0.0007219142162418786
0.44657534,8.851649656363623e-06,0.0011038444352013902,0.0016176397891422278,-0.0017213205589219627,0.0011038799250039449
0.52328767,-2.1176056668919044e-06,0.0008287250263359455,0.0017915819082026246,-0.0008937002512932543,0.0008287277318451906
0.69589041,3.757836348518284e-08,0.0013576244046442905,0.0029818416510605517,-0.0015751220206558086,0.0013576244051643656
0.77260274,3.968851565540159e-05,0.0010225554778776705,0.002055305385047765,-0.0016251870268463031,0.001023325404557397
0.94520548,-8.768629332044087e-07,0.0005712424644411593,0.0011479074140957057,-0.0007969158251617675,0.0005712431374374774
1.19178082,7.077947044752318e-06,0.0011184677481351016,0.0015751909587735091,-0.0016957834695372487,0.001118490143431212
1.69315068,7.199960821352436e-06,0.002897683776259912,0.0034536900599485276,-0.006227834065668764,0.0028976927212242044
1.76986301,-1.260096568676618e-07,0.0005266875631518707,0.000988246902588641,-0.0007798182404561149,0.0005266875782257347
2.18904110,1.636894948163492e-07,0.005129250636582726,0.006450374011739729,-0.011397283589762913,0.005129250639194633
2.69041096,-1.8841379593320662e-07,0.006485478005182359,0.01278261052793922,-0.00866832313037591,0.0064854780079192246
