,original,mean,std,cv,norm_range
a,0.00020524857750359437,0.0002628753496643463,0.0004407772002886049,1.6767536433195944,7.976561600392779
b,0.052733315980168984,0.0526899768724005,0.0007766345084957028,0.014739701070214575,0.05940867223609638
rho,-0.6405468048052554,-0.6663820425706379,0.038059398498591954,0.057113481557476954,0.2711022189087466
m,-0.019356388343315416,-0.025813201658174058,0.008233106771142971,0.318949461603724,2.0421372758396523
sigma,0.16828230937483513,0.1717327821079207,0.008221510301356585,0.047873854953272725,0.1967531189983675
