Maturity,a,b,rho,m,sigma
0.02191781,0.00020524857750359437,0.052733315980168984,-0.6405468048052554,-0.019356388343315416,0.16828230937483513
0.04383562,4.349036096669275e-06,0.06596851706710001,-0.7055523009707982,-0.03286570314171328,0.19167910612997496
0.06301370,0.00019144615872097236,0.07842374365334175,-0.7975998428279253,-0.0756833422490083,0.2737287578129968
0.08219178,5.2644212646085764e-05,0.07758130273586505,-0.7717426215003255,-0.047586748532397305,0.28638465501737753
0.10136986,7.234205740876582e-05,0.0811306868637639,-0.7479997594249261,-0.026386169915489976,0.2810212894135604
0.12054795,1.7419101842254536e-05,0.0807925389958406,-0.7165217642641772,0.0043938982485447475,0.28770060317060586
0.19726027,4.734235349086403e-05,0.08793962520433737,-0.7378923817730236,0.03925920150533914,0.3108350663514036
0.27397260,0.004225249609176929,0.09318500218793861,-0.8903571455309329,-0.021185133919928992,0.3840215084921289
0.35068493,1.967033829722068e-05,0.09599446334202899,-0.8936437669146772,0.02785728163250801,0.471158222550962
0.44657534,2.425783611420191e-05,0.10934131133173194,-0.9983401304802055,-0.06534000139819705,0.5789614169749658
0.52328767,3.630912921279519e-05,0.10157936078318112,-0.998405870706393,0.012853852618329503,0.6151259081167706
0.69589041,0.018666672514221445,0.12802217873866956,-0.4738544813901893,0.13047742247051305,0.3884064179056534
0.77260274,0.00024249997170518178,0.1438998548430801,-0.2503212957536125,0.2727913651529925,0.46009742259129854
0.94520548,0.019396878145026195,0.12224630697814565,-0.6831966903706411,0.12826835773329526,0.5762522143374984
1.19178082,0.0004886170568814863,0.13057642624770888,-0.995184856676649,-0.04606608867977183,0.9944266621871153
1.69315068,0.007507443346295089,0.11539322793262322,-0.3999678840668365,0.9688821433401156,0.2400992619577333
1.76986301,0.055811507751220416,0.1449327861878129,-0.7708486067984665,0.055323656112871156,0.7859626597080261
2.18904110,0.08329254217191315,0.16633417724136892,-0.43986950792693297,0.2130859596006405,0.6188803840164141
2.69041096,0.09413352908149829,0.3146214139821474,0.3282021605911758,0.5877196425626106,0.2812986045645063
