,mean_residual,std_residual,max_residual,min_residual,rmse
0.00821918,-6.791319848001684e-07,0.00012577389300799432,0.000232314613367127,-0.0001887755739739365,0.0001257757265239966
0.02465753,1.6890877096256463e-05,0.0003013934464845543,0.00046395273488331924,-0.0005624428037771662,0.0003018663798983231
0.04657534,1.1408044511873721e-05,0.0004966680952984275,0.0008300410515860845,-0.0007224823009495188,0.0004967990945713898
0.06575342,2.347129681213004e-05,0.00045652888406682955,0.0008242429492869401,-0.0006534226730952539,0.000457131845052768
0.08493151,1.0381229571493542e-05,0.0004665232540593258,0.0007414500998844352,-0.0007273308794738947,0.00046663874303953616
0.10410959,2.6545911218628978e-05,0.00045609237220458617,0.0008493101674328096,-0.0003636958073345714,0.0004568642439342721
0.12328767,1.9476713147209357e-05,0.0005539901185571908,0.0009528569391602099,-0.00048819313747051896,0.0005543323856803147
0.20000000,5.693334918417843e-06,0.00035894923876403584,0.0006224380451816114,-0.000394175854527265,0.0003589943872427174
0.27671233,9.597649305304046e-06,0.0006884393964990175,0.0012120711158557645,-0.0005758642388740132,0.000688506294469498
0.35342466,1.0428688450767575e-05,0.0007015593777790644,0.001201072007621956,-0.000859731978610008,0.0007016368847862482
0.44931507,2.5301175671058447e-05,0.0008801458015842593,0.0011849843771632729,-0.001597396854226829,0.000880509387534702
0.52602740,7.974057114808792e-06,0.0009481065645312736,0.0017128038252944289,-0.0010915950725182144,0.0009481400968707971
0.69863014,3.0140627537224496e-06,0.0012943917477291629,0.0026020854218169326,-0.0019613114604246223,0.0012943952569302935
0.77534247,1.4261848060541965e-06,0.0015405043535553615,0.003330285692509899,-0.0020881543752242493,0.0015405050137296285
0.94794521,2.5457795178060856e-06,0.00088081906124917,0.001289241004373054,-0.001054459542619901,0.0008808227401998782
1.19452055,1.5715198551462944e-05,0.004193822124324315,0.007703807484003844,-0.008026810441393056,0.004193851568419849
1.69589041,-1.874137998423772e-05,0.008169657926434055,0.014338361197905186,-0.013683589916419103,0.00816967942298047
1.77260274,6.511743628031391e-06,0.008402972208956713,0.015408213117981323,-0.01447489991481643,0.008402974732040073
2.19178082,6.774225565739764e-06,0.009640990976182179,0.018545656154324824,-0.01501545689376721,0.0096409933561308
2.69315068,-2.6575261705170342e-06,0.015738526549661673,0.029672188898774793,-0.023890934151096943,0.015738526774029732
