Maturity,rmse,mae,max_abs_error,r_squared,atm_rmse,atm_bias,left_wing_rmse,right_wing_rmse,wing_asymmetry,arbitrage_risk,min_calendar_diff,has_calendar_arbitrage,calendar_arbitrage_severity
0.01643836,6.645410191472316e-05,5.384150916268508e-05,0.00012032509158889631,0.9999058783281063,5.853502959226141e-05,1.341166941113501e-05,8.027025186201798e-05,,,0,,False,
0.03835616,0.00920093669199097,0.009200623089723347,0.009285914645820854,0.6381813737301356,0.009254792137989076,0.009254755607391679,0.00922656198779952,,,0,0.010891733064520247,False,0.0
0.05753425,0.006326810155948417,0.006323583201532387,0.006726374712193908,0.8215410331196439,0.006399759869520557,0.006394706444039447,0.006375546307547115,,,0,0.0024810171527520145,False,0.0
0.07671233,0.00827929613785886,0.008277171760916854,0.008625283714560252,0.7292651952086837,0.008347325178860896,0.008344168983314627,0.008329824216339732,,,0,0.003725278363069781,False,0.0
0.09589041,0.009229053975093026,0.00922710342562039,0.009502089518224385,0.6134793776754222,0.00932207652737255,0.009320969685319461,0.009301128385299697,,,0,0.0024356621854399185,False,0.0
0.11506849,0.012633640587725096,0.012631527172297697,0.013021439847132485,0.4909035757164536,0.012735158038114772,0.012733477468779897,0.01272156226251151,,,0,0.004919440987392616,False,0.0
0.13424658,0.014293075398844515,0.014291084878433623,0.014743566977572342,0.4320073805409814,0.014354097473282264,0.01435043831220847,0.014343892048593498,,,0,0.0026027388363589754,False,0.0
0.19178082,0.013933275831400855,0.013929856135411603,0.014417016054494775,0.6774063529269762,0.013836377053685438,0.01383309814227617,0.014063063838522582,,,0,0.004510124935602468,False,0.0
0.26849315,0.01310999644790354,0.013107647987268304,0.013544391678652637,0.5505606967711003,0.012947083947229878,0.012946699476879903,0.013233398578477652,,,0,0.005687355375943885,False,0.0
0.34520548,0.010435068254337803,0.010428005559540996,0.011095532014387413,0.8004861798537899,0.010172305165044304,0.01017209710245356,0.010620093828207895,,,0,0.005237332649892824,False,0.0
0.44109589,0.008069342726305244,0.00804144853188409,0.00921420845328541,0.9272011864476605,0.007727272413727702,0.007718856552760139,0.008363091027231226,,,0,0.0053328996284396635,False,0.0
0.51780822,0.008396320900447457,0.008374129090956613,0.009412230013434456,0.8966046891863333,0.007919233214576984,0.007918747376983948,0.00866712519870172,,,0,0.005391849458969103,False,0.0
0.69041096,0.0048154698105452995,0.004797044210004681,0.005644191260844839,0.960973079262326,0.0045545571404657205,0.004554006407735456,0.005057596761828446,,,0,0.009330323454721026,False,0.0
0.76712329,0.0007017075980520791,0.0006535888575974896,0.001090380022345988,0.9994413825522622,0.0005695206929949338,-0.000553232668805928,0.000886264385848446,,,0,0.0013034339386990418,False,0.0
0.93972603,0.0006237858919777411,0.0005239595565205077,0.0010842271762442485,0.9994172396924598,0.0007959515052690718,-2.3956029822807163e-05,0.0004270938376975278,,,0,0.015503844653761034,False,0.0
1.18630137,0.0009609944750430586,0.000851325688340893,0.0015857459331115875,0.9991603219414945,0.0011306724912469653,-0.0008956474776775913,0.0005420348655543964,,,0,0.01915066753003805,False,0.0
1.68767123,0.0010260996545408349,0.0007110975737307393,0.0020035621906003276,0.9990936620612715,0.0004024573084283476,-1.685188536021398e-06,0.0002283069460697979,,,0,0.043644588834018755,False,0.0
1.76438356,0.00098584757137125,0.0006444704457819432,0.0019037905353285756,0.999171514386397,0.00020219994983946402,0.00018220005184650667,0.0001893343437027426,,,0,0.005963093798141222,False,0.0
2.18356164,0.00018566747432680107,0.00012897148109671888,0.00034755403234995597,0.9999679140366154,9.826027422046857e-05,9.826027422046857e-05,1.7997193001863207e-05,,,0,0.03399104363749647,False,0.0
2.68493151,0.02785234527276062,0.027736503913084364,0.03091353895183363,0.48349980892143063,,,0.027983473539478314,,,0,0.041495891902162185,False,0.0
