,original,mean,std,cv,norm_range
a,6.738732608043315e-09,3.820908050877691e-08,4.6782349201989793e-08,1.2243777808587553,22.820021080593037
b,0.053294516008944554,0.053410923011545056,0.000498466924491373,0.00933267759449929,0.03595499150353709
rho,-0.6465784756569957,-0.6489435571185903,0.04108459939120051,0.06330997348000877,0.2501752990445604
m,-0.022930012919974072,-0.024302827228772354,0.008777855832125456,0.3611866121375898,1.5114503608812775
sigma,0.17255983207146838,0.17313736222416606,0.0067336663015644055,0.03889204626351029,0.1505075504649338
