Maturity,a,b,rho,m,sigma
0.00821918,0.0033673144150568406,0.0383901681769175,-0.4883007480562612,0.04427823713358071,0.08133200764801664
0.02465753,1.0000000000004947e-05,0.07345361658603249,-0.49162325957673997,0.020115979671311054,0.17160390950724172
0.04657534,1.0000000000000304e-05,0.08202816669310256,-0.4957804051574675,0.03372604151564103,0.1971722258003757
0.06575342,1e-05,0.09319068100903906,-0.49915231139511945,0.029034873394926247,0.243777618278604
0.08493151,1.0000000000001717e-05,0.09565237768264528,-0.5017289836699356,0.042380778153448186,0.26489260718542534
0.10410959,0.0005257372913666328,0.0991093946480539,-0.5047531024187162,0.057926780936877795,0.26757707188419194
0.12328767,0.001061697302945727,0.10206285347166416,-0.5073176210464643,0.07104738361266014,0.2708872754747274
0.20000000,0.004506197318627172,0.10299287136083612,-0.5172382989266711,0.13478592027852884,0.2731952805024832
0.27671233,0.009666719138712098,0.1105305668075503,-0.5176387941151104,0.13533762775359223,0.27303459418163095
0.35342466,0.0063897789273437726,0.11808759538657933,-0.5247131491872967,0.16970545569854195,0.33280982935682435
0.44931507,0.01592966410434932,0.12424775299508373,-0.5249698255891004,0.14913065161076128,0.3337726959220241
0.52602740,0.021031763312749262,0.1294871122158172,-0.5254143895171967,0.1421084009905925,0.3340413548863204
0.69863014,0.07109102696060067,0.08747335294162786,-0.851070250083453,0.12769068445136122,0.0676251719625424
0.77534247,0.07964411576460853,0.08794164630138009,-0.8518841728214129,0.12082691662131115,0.036261791209377725
0.94794521,0.09516029635273908,0.09230147057501385,-0.8519049034025092,0.10679283919837822,0.03698436068410495
1.19452055,0.12047193710040902,0.09568640964422717,-0.8523642430414259,0.08689339282511975,0.010000000000000004
1.69589041,0.16764558741650643,0.10830823103143644,-0.8525903563812472,0.04578351670819128,0.01
1.77260274,0.1746779085909594,0.11132168816233859,-0.8527196917447146,0.039145835473784765,0.01
2.19178082,0.20303268531273883,0.1397456730792322,-0.8543867215630316,0.004127275267621509,0.01
2.69315068,0.2371086302433209,0.1576496963931692,-0.999,-0.039796772541210404,0.01
