,original,mean,std,cv,norm_range
a,0.0033673144150568406,0.002668439292618052,0.0013332930620409435,0.4996527617208134,1.0296954323692298
b,0.0383901681769175,0.03961113547355276,0.001872300044966981,0.047267012737291086,0.13005057424220257
rho,-0.4883007480562612,-0.48874215837249524,0.0012257417888405097,0.0025079518266282025,0.008002819603809932
m,0.04427823713358071,0.04031003869866788,0.0060647152904027704,0.15045173575095552,0.38841961713941503
sigma,0.08133200764801664,0.09902537177517814,0.03090906024763299,0.31213273622246274,0.9902048663304767
