,maturity,prev_maturity,a_change,a_rel_change,b_change,b_rel_change,rho_change,rho_rel_change,m_change,m_rel_change,sigma_change,sigma_rel_change,param_stability
0,0.024657534246575342,0.00821917808219178,-0.003357314415056836,-0.9970302743470315,0.03506344840911499,0.9133444856904083,-0.0033225115204787437,-0.006804231887221949,-0.024162257462269653,-0.545691496013624,0.09027190185922508,1.109918523712066,1.8324879680854462
1,0.04657534246575343,0.024657534246575342,-4.6434346168480745e-18,-4.643434616845777e-13,0.008574550107070075,0.1167342127671432,-0.00415714558072755,-0.008455957890004268,0.013610061844329974,0.6765796181301739,0.02556831629313397,0.1489961176674415,0.7026081428530018
2,0.06575342465753424,0.04657534246575343,-3.032377951170395e-19,-3.032377951170303e-14,0.011162514315936498,0.13608147988604397,-0.0033719062376519338,-0.006801209169573703,-0.004691168120714781,-0.13909631578135762,0.046605392478228314,0.23636895251876552,0.30623927310668314
3,0.08493150684931507,0.06575342465753424,1.7160887511372125e-18,1.7160887511372122e-13,0.0024616966736062257,0.026415695721415028,-0.0025766722748161164,-0.0051620962499690235,0.013345904758521938,0.45965086800943633,0.02111498890682134,0.0866157814483602,0.4685143010366692
4,0.10410958904109589,0.08493150684931507,0.0005157372913666311,51.57372913665425,0.0034570169654086214,0.036141464009167505,-0.003024118748780613,-0.006027394962635928,0.015546002783429609,0.3668173039943287,0.0026844646987665977,0.010134162396187476,51.57504762219467
5,0.1232876712328767,0.10410958904109589,0.0005359600115790942,1.0194445408007635,0.0029534588236102555,0.029799988528819543,-0.0025645186277480914,-0.005080738712569029,0.013120602675782342,0.2265032246497475,0.0033102035905354654,0.012371028531054895,1.0448147099434966
6,0.2,0.1232876712328767,0.0034445000156814454,3.2443333953326667,0.0009300178891719635,0.009112207404921963,-0.009920677880206785,-0.019555161241478283,0.0637385366658687,0.897127148458581,0.0023080050277557995,0.00852016774767675,3.366166117482266
7,0.27671232876712326,0.2,0.005160521820084926,1.1452054704202557,0.007537695446714177,0.0731865744407282,-0.0004004951884393204,-0.0007742953088941673,0.0005517074750633899,0.004093212955205648,-0.00016068632085225465,-0.0005881738533575952,1.147549364529845
8,0.35342465753424657,0.27671232876712326,-0.0032769402113683255,-0.3389919748723468,0.0075570285790290265,0.06837048607727586,-0.007074355072186345,-0.013666585952623132,0.03436782794494972,0.2539414094616972,0.0597752351751934,0.21892916300353166,0.4818641673944199
9,0.44931506849315067,0.35342465753424657,0.009539885177005547,1.492991429825769,0.006160157608504399,0.05216600091091788,-0.00025667640180371265,-0.0004891747085074322,-0.020574804087780674,-0.12123831849182821,0.000962866565199727,0.00289314341184131,1.4988168802844646
10,0.5260273972602739,0.44931506849315067,0.005102099208399942,0.32028918971410714,0.005239359220733486,0.04216864365298259,-0.0004445639280962199,-0.0008468371064895927,-0.007022250620168785,-0.04708790945604679,0.0002686589642963422,0.0008049159430317998,0.32646898136722374
11,0.6986301369863014,0.5260273972602739,0.050059263647851404,2.3801743535933544,-0.04201375927418935,-0.3244628639502337,-0.3256558605662564,-0.6198076548027198,-0.014417716539231268,-0.10145576502676794,-0.266416182923778,-0.7975544914624229,2.6078830632617382
12,0.7753424657534247,0.6986301369863014,0.00855308880400786,0.12031179137063339,0.00046829335975222264,0.005353554471208175,-0.0008139227379598823,-0.0009563520025286654,-0.006863767830050077,-0.053753081985119765,-0.03136338075316468,-0.46378263955523635,0.482170335953137
13,0.947945205479452,0.7753424657534247,0.015516180588130549,0.19481891962978484,0.004359824273633767,0.04957633222708212,-2.0730581096306544e-05,-2.4334976229981508e-05,-0.01403407742293293,-0.11615025704014063,0.0007225694747272221,0.01992646944975948,0.2330239711922801
14,1.1945205479452055,0.947945205479452,0.025311640747669936,0.26598951156945794,0.003384939069213319,0.03667264506324808,-0.00045933963891664487,-0.0005391912138104168,-0.019899446373258467,-0.1863368978915645,-0.026984360684104945,-0.7296154424457097,0.7994721553995229
15,1.6958904109589041,1.1945205479452055,0.04717365031609741,0.391573767729657,0.01262182138720927,0.13190819296218367,-0.0002261133398213655,-0.0002652778335873671,-0.04110987611692847,-0.47310704278362736,-3.469446951953614e-18,-3.4694469519536127e-16,0.6281402162322884
16,1.7726027397260273,1.6958904109589041,0.007032321174452988,0.04194754710114478,0.0030134571309021474,0.02782297432249163,-0.0001293353634673755,-0.0001516969579814734,-0.0066376812344065145,-0.144979715663016,0.0,0.0,0.15346939621191197
17,2.191780821917808,1.7726027397260273,0.028354776721779412,0.1623260602929324,0.028423984916893602,0.25533196078955767,-0.0016670298183170118,-0.001954956399454281,-0.03501856020616326,-0.8945666833350518,0.0,0.0,0.9443503231526231
18,2.6931506849315068,2.191780821917808,0.03407594493058208,0.1678347743768134,0.017904023313937006,0.1281186237786832,-0.14461327843696836,-0.16925974478209355,-0.04392404780883191,-10.642383887843936,0.0,0.0,10.64582390285942
