Maturity,a,b,rho,m,sigma
0.01917808,1.0000000000001095e-05,0.05305389162713202,-0.4919240839335319,0.026420909684986386,0.15328921927769923
0.04109589,1.0000000000000065e-05,0.07974631729617444,-0.4927098367625545,0.0022229755309819523,0.16737838592205395
0.06027397,1.0000000000000445e-05,0.08826272624426383,-0.4995884801030748,0.02792905160068849,0.2038638090302723
0.07945205,1e-05,0.09151935647032002,-0.5016657947985739,0.03939227364678345,0.22018853414962875
0.09863014,1e-05,0.09596412916323509,-0.5043751830931629,0.05107153294170242,0.22823306000091695
0.11780822,0.0002901599432430287,0.09927692773618324,-0.506398850142487,0.060693186165027425,0.23390138069278396
0.13698630,1.0000000000000253e-05,0.10631752887052423,-0.507113844451382,0.0593027515602998,0.23818889807688673
0.19452055,0.0036606712008484116,0.10383787539258638,-0.5132258953939732,0.10151009368114561,0.2427383707771854
0.27123288,1.0000000000000335e-05,0.12123312415610671,-0.5164769187905075,0.08947325103865486,0.3130987455205705
0.34794521,1e-05,0.12739129881012232,-0.5239270227721077,0.11121019279850596,0.3613809889266824
0.44383562,0.0056494160824455365,0.12086051464461393,-0.5353875986321409,0.17228623134340257,0.36261405646882094
0.52054795,0.00667548982511494,0.13653636954415455,-0.5318246624016757,0.13425356968123028,0.38562329833304676
0.69315068,0.022141644466520415,0.13284033841051573,-0.5348229003688707,0.15513666808951476,0.38661178365506527
0.76986301,0.02794196283863136,0.13491326311484958,-0.5348833443024016,0.14970533773358333,0.38741820928776677
0.94246575,0.04345533253696062,0.1377695183292622,-0.5343762989536017,0.13893986483886892,0.38911475061639317
1.18904110,0.06500845689061126,0.1443536300393426,-0.5336366005840252,0.12381477396241138,0.39209026684232096
1.69041096,0.10682330707644609,0.15944163993318414,-0.5320404432673993,0.09321370161312573,0.4062351242547883
1.76712329,0.11280324279890545,0.16002173127482588,-0.5318906015338157,0.08820387535866435,0.40724650252136746
2.18630137,0.14551039513828753,0.16617805102399785,-0.5303204768392368,0.0623854287478441,0.4188863776221955
2.68767123,0.20850827170920042,0.12895337624627384,-0.999,0.03014357116048204,0.32877425243538566
