,original,mean,std,cv,norm_range
a,1.0000000000001095e-05,1.0000000000000211e-05,3.0932200553608833e-19,3.0932200553608184e-14,1.0333801956501332e-13
b,0.05305389162713202,0.053120829394797064,0.00042232679045832336,0.007950304904307242,0.029593550265380263
rho,-0.4919240839335319,-0.4919001006601338,9.642474614726288e-05,0.00019602505878299297,0.0007237197681944462
m,0.026420909684986386,0.025935287468796076,0.003112849962342872,0.12002373083730355,0.4537507345225465
sigma,0.15328921927769923,0.15330624621041314,0.0015474205655189534,0.01009365634975574,0.03879861343767622
