,original,mean,std,cv,norm_range
a,0.0027919983218743206,0.0018424652111368903,0.0013470501316317602,0.7311129260348775,1.0796037956018347
b,0.03935478635388833,0.04073157669004534,0.0020000417237815904,0.04910297823728473,0.1254717086372704
rho,-0.48729990803666495,-0.4886139955992498,0.001843312843260212,0.0037725338608025787,0.009194522654727711
m,0.012939169669984783,0.011277881035087471,0.0030576647155635965,0.2711204973745213,0.9115336733036233
sigma,0.08847225988812846,0.1095288323739451,0.029474265382532075,0.26910051667403206,0.7399135395476443
