Maturity,a,b,rho,m,sigma
0.01643836,0.0027919983218743206,0.03935478635388833,-0.48729990803666495,0.012939169669984783,0.08847225988812846
0.03835616,1.0000000000000052e-05,0.07269075210310376,-0.49437838706025444,-0.00601107895480385,0.15587263814441787
0.05753425,1.000000000000053e-05,0.07795006269557483,-0.5050520456255922,0.030415460630197403,0.2034620623584248
0.07671233,1.0000000000000548e-05,0.08180502743761027,-0.5084661098747276,0.04292505815868452,0.2177766566541984
0.09589041,0.0007900342329973654,0.0837054508110932,-0.5108243083483337,0.05442268838431951,0.2222729388887077
0.11506849,0.0006552654830907884,0.08835663361045366,-0.513138099103259,0.06274233665890136,0.22948179163608456
0.13424658,1.0000000000000865e-05,0.09510632643870204,-0.5137734729366293,0.06104087697109959,0.23424203677989372
0.19178082,1.0000000000000988e-05,0.10577489257873632,-0.5181969566214095,0.06976502999361875,0.2605565192160678
0.26849315,0.004554838507319761,0.1010337861089665,-0.5271130288090599,0.12108708769543564,0.27145229219966077
0.34520548,1e-05,0.11279715592486435,-0.5345748248437253,0.13647688474593764,0.34656696564032907
0.44109589,1e-05,0.1234893206946236,-0.5397553617914865,0.1470806479319049,0.3730829160399291
0.51780822,0.0031903293550642293,0.12055023444932539,-0.5474019814663416,0.18350406142764078,0.3787541547777289
0.69041096,0.013071080047458564,0.11522952595452525,-0.5594810729576227,0.25070669173947246,0.37615729741996257
0.76712329,0.01913575301842399,0.11654445419126608,-0.5594488617184913,0.24513697566724357,0.37693904295449915
0.93972603,0.046549345427524376,0.13885677621815723,-0.5598357394903443,0.052047696133333286,0.385986726579587
1.18630137,0.06014517162574831,0.12543552176402895,-0.5425723859870211,0.2160386446663823,0.33713854251785186
1.68767123,0.11323144439375672,0.16049272631789044,-0.5433518610023765,0.003706592407076817,0.3685719767238322
1.76438356,0.13756452858352405,0.14213460197846198,-0.6258086541387272,-0.001565319429960884,0.28933085960666327
2.18356164,0.17278841983551912,0.14811736892617847,-0.6242174391230033,-0.030904341009403927,0.3013963609371362
2.68493151,0.18618302007528736,0.14446086754617687,-0.6502406511263261,0.11798393298558484,0.3352789850525153
