,original,mean,std,cv,norm_range
a,1.639310984549691e-11,3.139836258185818e-11,3.287354370368378e-11,1.0469827405164736,7.865703951317408
b,0.061773673111977796,0.06206279056274885,0.0018376031379058126,0.029608773972995883,0.10443846230157004
rho,-0.9999999996715568,-0.9999999992859665,8.48063689867335e-10,8.480636904728808e-10,3.48197315539488e-09
m,-0.13777485725955663,-0.13908313131306518,0.010132199262056307,0.07284995071939762,0.25957729133663
sigma,0.265757066914191,0.26567967205109133,0.0019734292312660454,0.007427851803756166,0.031549453362499404
