Maturity,a,b,rho,m,sigma
0.01917808,2.9672626938107016e-06,0.046939472090278045,-0.9988903498679187,-0.0608564208516964,0.24796366001238163
0.04109589,7.851042095406713e-06,0.07152036360988123,-0.998978451065356,-0.10039050464697596,0.27549433769521603
0.06027397,4.648190962741605e-06,0.08199155824857007,-0.9988644498963594,-0.105123001275373,0.3333180675707775
0.07945205,6.8513450630705575e-06,0.08381436390667363,-0.9984086236887102,-0.09170992799748778,0.3528700036434783
0.09863014,2.187235797324085e-05,0.08629020864673613,-0.9913141871063772,-0.06907128546671389,0.3564998795710924
0.11780822,3.1330450587455026e-06,0.08787622407008568,-0.9836482826733949,-0.04899725174024559,0.36199408724163035
0.13698630,2.300288005303852e-06,0.09926835863957373,-0.9855267034189932,-0.07701579237247103,0.36686415631659985
0.19452055,1.146432432072575e-05,0.08994073464102659,-0.9896136867031505,0.01734650760980161,0.38992279727684315
0.27123288,1.0391766163513061e-05,0.10651873729029881,-0.9989199725141672,-0.04280818936096242,0.4675018229392949
0.34794521,2.2786960412330124e-05,0.11232773119209932,-0.9989671500948595,-0.0338817436455955,0.530350306662717
0.44383562,9.941577429133634e-05,0.10365036302873122,-0.9983014495845619,0.07551036066730055,0.5500655121519196
0.52054795,9.78079984324809e-06,0.12247755736039956,-0.9988747283370284,-0.016387547262978863,0.6080247776159496
0.69315068,5.3689519608560166e-06,0.10382136436504841,-0.9988791780613809,0.19087289722126055,0.6338906257719671
0.76986301,2.9044376475011923e-05,0.12046868142162968,-0.9987484102095429,0.048463329966301996,0.7378571305158627
0.94246575,5.3322366407844985e-05,0.11907099243156131,-0.9980833496490347,0.1072513089527872,0.8138909120169012
1.18904110,0.0003185110838252625,0.1348384723769388,-0.9806114380630209,0.03897564299064419,0.9505604180010818
1.69041096,0.06318212890840952,0.16787843767610677,-0.9981614189557727,-0.17658573360454577,0.8614039773896648
1.76712329,0.04568423061974541,0.17167454462415005,-0.842002356475426,-0.05516810018032038,0.8670851301062878
2.18630137,0.024689461306397258,0.1997338952571416,-0.6809180407201553,-0.01423724156601648,0.9912742138357128
2.68767123,0.02210661122188673,0.23031043365345533,-0.4433987114597178,0.2120530500604882,0.8900377163660221
