,original,mean,std,cv,norm_range
a,0.002747386405145031,0.0020683569069153735,0.001193095014543638,0.5768322723001177,1.0859673003799832
b,0.05148256266089607,0.052634396787973124,0.0020866566974644296,0.03964435473384635,0.11034272829246566
rho,-0.493916522102478,-0.4933958846023584,0.0009443093341772413,0.001913897873182073,0.005403250973463854
m,0.0400826572142466,0.037940954279848976,0.004727950183053505,0.12461337024315682,0.4307174574339685
sigma,0.10589871740145465,0.11768940285510684,0.02105247595949924,0.17888166180448695,0.49452614359208436
