Maturity,rmse,mae,max_abs_error,r_squared,atm_rmse,atm_bias,left_wing_rmse,right_wing_rmse,wing_asymmetry,arbitrage_risk,min_calendar_diff,has_calendar_arbitrage,calendar_arbitrage_severity
0.01095890,0.0028355982736233245,0.002139752036866375,0.00602758966730459,0.900635936062977,0.0032270373282523254,-0.0005519330782648635,0.0018391988560975546,,,0,,False,
0.02739726,0.0008832711889489372,0.0006647443699379018,0.0019532581700248373,0.9969226758515216,0.0011476166221692087,-0.00025850766324056083,8.128702549880803e-05,,,0,0.0023112681880755256,False,0.0
0.04931507,0.0029245851298431336,0.0018196307568373,0.007682472270458207,0.96792364941517,0.003956182703302161,-0.0012817907463220585,0.000280481720493364,,,0,0.004020764391076665,False,0.0
0.06849315,0.004096074383434274,0.002711465520493527,0.008462376137197278,0.9180336947172498,0.006092673077661656,-0.000868609558781961,0.0008366901654516982,,,0,0.003647938532182867,False,0.0
0.08767123,0.004430156022974084,0.0029368662401729334,0.009066656558322315,0.9070229901946026,0.006594013649564501,-0.00083408688557248,0.0007693359853077927,,,0,0.0026891828991955496,False,0.0
0.10684932,0.003485960146808465,0.0025378290475855745,0.007271365128772689,0.925151641116667,0.005237646305408098,-0.002929791849548214,0.0004391938844089159,,,0,0.0033629487819544016,False,0.0
0.12602740,0.0046895198899118895,0.0031906119254149017,0.009257088100187952,0.9151436684837454,0.00698276316838872,-0.00036452322441441615,0.0009746886772724937,,,0,0.001162076848184486,False,0.0
0.20273973,0.005055985648977841,0.0031071535631216293,0.010135816887001582,0.9207073975352051,0.007570232385219716,-0.0006191601450604665,0.00016287654314177508,,,0,0.00731986398080544,False,0.0
0.27945205,0.005669232708116947,0.0037257102910227893,0.011350530332341513,0.9082722527764564,0.008392538453126491,-0.000821981202188668,0.0004171574360460455,,,0,0.00715973211050791,False,0.0
0.35616438,0.005297953665262203,0.003647961895238253,0.011412528087059531,0.9484939242597322,0.008159901449396939,-0.004851543915385784,0.0009563095844253801,,,0,0.00982353326981146,False,0.0
0.45205479,0.007003777801476795,0.004463137755683118,0.01395769240046596,0.9127512172192722,0.010476420980749123,-0.0007557353341898937,0.0004380032186526312,,,0,0.006483747628522607,False,0.0
0.52876712,0.005704551167248262,0.004611450249065142,0.008842800427537476,0.9277802280256144,0.0070449401711910374,-0.006716353624519458,0.0002777172219824686,,,0,0.006004928994854594,False,0.0
0.70136986,0.007037217906271603,0.004990626617969388,0.015009388454645792,0.9228592307764658,0.002487272835970361,0.002487272835970361,0.0021187836920437187,,,0,0.011778219863089662,False,0.0
0.77808219,0.007571298749547038,0.0052118765858815835,0.016165752707320652,0.9132518945301376,0.0023097802998010564,0.0023097802998010564,0.00221841606265667,,,0,0.007118426345524537,False,0.0
0.95068493,0.009651916314809977,0.006503563431741918,0.018450086435052443,0.843926986124014,0.011298474413367251,0.00789785497625415,0.0005679973131245508,,,0,0.01301781736890932,False,0.0
1.19726027,0.011627776337009121,0.007678731964181991,0.022163894670020945,0.8313874240736251,0.014072205775888035,0.010183046230891238,0.0003851340326140892,,,0,0.021920807845971196,False,0.0
1.69863014,0.0016397790461505203,0.0012165859703885118,0.002831793344156619,0.9900957471617915,,,0.0005608893850960651,,,0,0.04023558557125176,False,0.0
1.77534247,0.014952471241974572,0.009918500974623637,0.02837375233372627,0.6030224371386723,0.018616988468531458,0.01105774035979852,0.001418758715287925,,,0,0.001900398631040301,False,0.0
2.19452055,0.011700192484531241,0.008076713583738281,0.023190399814396134,0.8134127082744864,0.0008853470203514513,0.0008853470203514513,0.0035818939323007024,,,0,0.024538398910973314,False,0.0
2.69589041,0.01620875627926248,0.01117298360955046,0.0347951350238333,0.6480721105727939,0.0025239575899350664,0.0025239575899350664,0.0038443996973263465,,,0,0.03176402837537606,False,0.0
