,original,mean,std,cv,norm_range
a,7.13696906750621e-11,4.237380102488748e-09,5.773040020318632e-09,1.3624078748394421,249.7178866826689
b,0.04707923976008362,0.047242719956845605,0.0008345332588900818,0.017664801257260287,0.05844651194224719
rho,-0.9999999976408636,-0.999999631148327,6.170672448899086e-07,6.170674724962781e-07,2.170575404539023e-06
m,-0.06264907202539449,-0.06402209213639616,0.007320210078134629,0.11433881389785347,0.39956576776217406
sigma,0.24901071849702697,0.24932008473982284,0.002881002833932218,0.011555438210839208,0.04083780218836393
