,mean_residual,std_residual,max_residual,min_residual,rmse
0.01917808,3.6973226435356715e-06,0.00014736310551049416,0.0002249811703424233,-0.00023939352318550107,0.00014740948090413803
0.04109589,6.479599184498449e-06,0.00021322452991005635,0.00034313285883431216,-0.0003963098483543391,0.0002133229602292174
0.06027397,1.03230462912826e-05,0.0003285578556713187,0.0005047538778473627,-0.0004267360623046966,0.00032871998693122847
0.07945205,7.803900336385977e-06,0.00029803463075486,0.00047639990685487826,-0.0004331093821140393,0.00029813678402647
0.09863014,1.0648120719196468e-05,0.00042989831676285,0.0006609773380312177,-0.00046115141050257977,0.0004300301678142853
0.11780822,9.712643233860535e-06,0.00043700688472199964,0.0006612735360418086,-0.000531813936443009,0.0004371148049803568
0.13698630,5.707415387423499e-06,0.0004687146555123477,0.0006022996796822347,-0.0006957278662375888,0.00046874940307424756
0.19452055,3.762763808790847e-06,0.0003561760464929488,0.0005908733032458993,-0.0004005114372102117,0.0003561959214910075
0.27123288,7.387604724711347e-06,0.0005271529135892744,0.00083542471477073,-0.0006384218601668754,0.0005272046765813344
0.34794521,5.877043498566223e-06,0.0005741027639838521,0.0008712939778121598,-0.0006166701026588325,0.0005741328446049595
0.44383562,6.558182698961542e-07,0.0003821477384865607,0.0005398680641829079,-0.0004744287332602015,0.0003821483012234857
0.52054795,4.702675727303754e-06,0.0006819903731170405,0.0010589187697558552,-0.0009076795102805901,0.000682006586612854
0.69315068,1.6629775046759062e-06,0.00047599430811677573,0.0008105224841826325,-0.0007364267372634153,0.0004759972130735106
0.76986301,2.344513791048751e-06,0.0008494480208997364,0.0010367346434642793,-0.001713432975766746,0.0008494512563740167
0.94246575,1.5510735562012418e-06,0.0008432838665185468,0.000966837198016976,-0.0017976593508045036,0.0008432852929819463
1.18904110,9.357326616431833e-07,0.0013559790881125407,0.0015086180978949593,-0.0030728429392294365,0.001355979410977221
1.69041096,1.850371707708594e-17,0.0006265766147912622,0.0006029950827470543,-0.0012673377099121363,0.0006265766147912622
1.76712329,0.018291698509868035,0.0004263916354705488,0.01895109098155559,0.017688931306209354,0.018296667570973348
2.18630137,-4.625929269271485e-18,0.0013210512681254602,0.0016088471953822625,-0.0026951041524019836,0.0013210512681254602
2.68767123,7.93016446160826e-18,0.002524217530505598,0.0031450303429845783,-0.0055052516791088135,0.002524217530505598
