Maturity,a,b,rho,m,sigma
0.01095890,0.006462936222091936,0.06951631778948429,0.020183624837892225,0.041255265496396694,0.00020600581271507118
0.02739726,2.7821009643444766e-06,0.09776822310916652,-0.2662379243311636,-0.03203909400049689,0.14945009220446048
0.04931507,0.00016116901024409297,0.1044896846226997,-0.33243559200032624,-0.04388609176667013,0.19106987620979654
0.06849315,4.451136527353072e-05,0.10554189401769742,-0.2495919443800378,0.014413324541112438,0.21678751029775634
0.08767123,1.7161075369430285e-05,0.10652927968353496,-0.2023663051547055,0.04717302444479473,0.23585459749881013
0.10684932,1e-08,0.10659346381880268,-0.192512881700056,0.06345757923299927,0.2731216199400074
0.12602740,0.00018550868348978354,0.11466349815658072,-0.25654927752265294,0.044652530718971746,0.26524494418776295
0.20273973,0.0007539241310602583,0.1640380463006855,0.15871965488949538,0.1656693029743226,0.2180223380212303
0.27945205,0.00017812452825543648,0.18585507227457618,0.19293607788404582,0.17337648857447774,0.24366286415440314
0.35616438,8.981139855716709e-05,0.18095823864224117,-0.05561263111601281,0.06540402098071527,0.3284525713303933
0.45205479,0.0006051936827056069,0.23376017710145802,0.2621975997968039,0.21329952434523522,0.27928427096930414
0.52876712,2.1706623355523258e-05,0.22626307831293757,0.2636808549426432,0.23931736959897787,0.35932378906028173
0.70136986,8.574653753565835e-05,0.20980745369303408,-0.14301034420135256,0.02646974639487181,0.45480163372465865
0.77808219,0.0068067292262525315,0.2057176820953843,-0.24706335478097888,-0.02803631959590649,0.47827774424611447
0.95068493,0.010482986607591777,0.19748802899367268,-0.18060227245395824,0.06751427740981594,0.5245389179786305
1.19726027,0.0124892754296402,0.20368140656355355,-0.5639787361509325,-0.18835330822677296,0.7157262292876391
1.69863014,0.09979326624589813,0.43695216768242096,-0.8258175951371592,-0.5120288686906079,0.3752463990391639
1.77534247,0.08073754801603912,0.5068498670229982,-0.8411620107219487,-0.5799456137801162,0.4185780975168336
2.19452055,0.041950169864412135,0.6112558680386061,-0.7947697993241861,-0.692968028769883,0.5224859397941194
2.69589041,0.06153187055797812,0.6111654965654572,-0.7688769310776741,-0.7296917662624547,0.558681623206263
